10029,5.216333,59.371233
10041,5.090733,60.054317
10045,5.120633,60.088083
10050,5.228133,59.866567
10054,5.309083,60.025583
10086,5.328583,60.723417
10087,4.708333,61.32
10091,5.0247,61.490383
10110,5.863783,59.1474
10113,5.934433,59.122317
10136,5.669683,59.95335
10137,5.6591,60.264083
10147,5.980617,59.747083
10149,6.17615,59.790083
10181,6.16075,62.52025
10212,7.9046,63.076783
10213,8.0756,62.9424
10216,8.191733,63.076283
10223,8.213567,63.398017
10224,8.21755,63.1434
10229,8.45695,63.146017
10232,8.536867,63.84705
10240,8.88687,63.651975
10256,10.7427,64.8168
10262,11.6139,65.01145
10275,22.3542,70.14145
10276,22.66705,70.077333
10281,22.896517,70.321117
10291,5.1462,59.72415
10292,5.155467,59.713833
10298,5.2447,59.866417
10300,5.311917,59.6084
10303,5.363633,59.742983
10309,4.968667,60.467733
10311,5.193833,61.203133
10317,4.979333,61.316633
10318,5.069883,61.758017
10319,5.136833,61.585767
10324,5.64105,60.223267
10328,5.906933,60.141033
10331,6.044717,60.112833
10332,6.082633,60.0833
10338,6.35625,60.406717
10375,9.409217,63.589367
10398,10.115683,64.093
10409,11.388867,64.643867
10421,11.91045,64.928283
10425,12.071983,65.126583
10447,12.2872,65.85145
10504,14.6153,68.781933
10505,14.707267,68.583933
10513,15.51075,67.458683
10518,15.29955,68.0213
10536,16.481867,69.031583
10544,17.015083,69.187117
10550,17.309683,68.728383
10552,17.487317,68.896217
10611,21.706083,70.249917
10614,23.306217,70.263017
10616,23.397883,70.57315
10635,24.075567,70.572533
10652,25.636983,70.7514
10660,24.944717,70.889183
10724,20.717817,69.816117
10726,20.713967,69.860083
10734,20.510433,69.57835
10735,20.314917,69.663267
10747,19.587733,69.95135
10753,19.435083,69.88185
10754,19.361467,69.833017
10757,19.341067,70.0722
10759,19.304867,70.06635
10768,18.918567,69.8674
10769,18.92482,69.867926
10789,23.465883,70.2875
10790,23.484533,70.384033
10791,23.400283,70.286367
10794,23.223833,70.124217
10795,22.2785,70.2122
10796,21.811017,70.19945
10803,21.875167,69.904133
10804,21.828983,69.851983
10806,21.729983,69.885067
10808,21.598767,69.91225
10811,23.330383,70.1337
10814,23.28235,70.237417
10819,22.755167,70.091
10821,22.705367,70.09005
10822,22.6618,70.085867
10825,22.308067,70.151467
10828,23.5579,70.5382
10837,23.184933,70.66655
10838,23.109517,70.626517
10839,23.079117,70.353317
10840,22.972967,70.347517
10841,22.805067,70.3413
10858,12.438133,65.108317
10862,12.321467,65.117667
10876,12.562867,65.44635
10877,12.549733,65.457233
10893,12.07285,66.504117
10898,12.135,65.471383
10961,12.6242,65.807633
10974,12.4117,66.400717
10989,12.350567,66.01325
10990,12.312267,66.228867
11015,12.220967,65.90735
11041,12.065617,66.07035
11072,13.624117,66.69935
11074,13.391633,66.669083
11076,13.317517,66.675733
11087,12.994583,66.640967
11112,14.2684,67.107833
11116,14.025333,67.057833
11122,13.947583,67.073
11129,13.85685,67.083917
11138,13.562283,66.713417
11144,13.171383,66.769483
11162,14.848083,68.435117
11168,14.769217,68.270383
11193,13.74305,68.11055
11198,13.736967,68.090833
11201,13.68965,68.088167
11205,13.635317,68.092733
11225,14.985133,68.91765
11238,14.866383,68.803383
11248,14.7101,68.817383
11251,14.626133,68.79065
11252,14.597967,68.784917
11269,15.444017,67.52995
11272,15.4048,67.136967
11273,15.398867,67.243033
11290,16.134117,68.19825
11298,15.867383,68.428717
11303,15.808267,67.96265
11312,15.503168,67.939483
11315,15.3812,67.7267
11318,15.318733,68.37535
11320,15.310517,67.975167
11326,17.457083,69.017
11330,17.343483,68.72655
11332,17.282283,68.78055
11334,17.226067,68.732067
11338,17.138817,68.719483
11339,17.14895,68.925417
11340,17.109217,68.886183
11350,17.0887,69.257533
11351,17.022217,68.71725
11355,17.025,69.246667
11357,17.009933,69.146683
11363,16.910167,68.727583
11364,16.91595,69.1959
11365,16.883733,69.0505
11378,16.534667,68.981667
11381,16.5382,68.962367
11385,16.491867,68.9808
11399,15.904017,68.656833
11405,15.482067,68.63045
11410,15.381083,68.611667
11411,15.3329,68.566533
11413,15.314567,68.885833
11433,17.919933,69.502283
11435,5.09895,59.428783
11438,5.472633,59.179733
11488,5.303317,60.044117
11492,5.30565,59.838083
11511,5.252483,59.627967
11513,5.247117,59.636483
11525,5.144183,60.081633
11530,5.160067,59.623583
11533,5.091133,60.174983
11534,5.161567,59.596783
11543,5.080083,60.020467
11552,4.978467,60.249517
11559,5.404167,59.65735
